ID,enforcement_cond,speed_cond,risk_pullover,ambiguity,intent_speed,unsafety,tcost,ftpain,validDL,speedfreq,avgspeed,hwydrive,psttickets,policed,texting,aggressive,accidents,impulsive,male,age,white,employed,state,id
407,Reduced Enforcement,76,45,5,75,2,150,3,yes,3,76,daily,2,yes,4,about same,4,4.5,male,58,1,employed,florida,1
1071,Increased Enforcement,76,0,1,0,2,50,1,yes,3,75,weekly,1,no,1,less aggressive,4,1,female,38,1,employed,Iowa,2
309,Increased Enforcement,76,76,2,50,2,20,3,yes,1,30,daily,2,yes,1,less aggressive,1,3.5,female,32,0,employed,michigan,3
500,Reduced Enforcement,76,60,3,60,2,65,4,yes,2,60,daily,2,yes,4,more aggressive,4,3.5,female,33,0,employed, ,4
143,Increased Enforcement,76,10,3,0,4,100,1,yes,2,73,weekly,1,no,1,less aggressive,6,2.25,male,54,1,unemployed,Oregon,5
1207,Increased Enforcement,76,40,1,30,4,350,4,yes,3,85,weekly,5,no,3,more aggressive,5,3,male,48,0,unemployed,Texas,6
366,Increased Enforcement,76,89,3,50,3,200,4,yes,2,70,monthly,5,yes,2,less aggressive,5,3.5,male,27,1,employed,New York,7
713,Increased Enforcement,76,77,2,89,3,90,2,yes,4,76,weekly,1,yes,4,about same,5,4.5,male,33,0,employed,MA,8
1179,Increased Enforcement,76,20,1,35,2,200,3,yes,2,80,monthly,3,yes,1,about same,4,1.75,male,45,0,employed,Texas,9
319,Increased Enforcement,76,2,2,95,2,250,1,yes,1,65,rarely,1,no,1,less aggressive,1,4,female,31,0,unemployed,Arkansas,10
695,Increased Enforcement,76,76,2,,2,50,4,yes,2,76,weekly,2,yes,4,about same,4,4.25,male,25,0,employed,Arizona,11
196,Reduced Enforcement,76,5,1,90,2,150,2,yes,4,75,weekly,1,no,2,about same,4,2.75,male,31,1,employed,New York,12
900,Reduced Enforcement,76,78,1,56,2,54,4,yes,2,80,weekly,3,yes,4,more aggressive,5,4.5,male,30,0,employed,California,13
